Keyword,Type,Lesson,Relevant Code
implements LoaderManager.LoaderCallbacks,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20, UD.GDC.AD.10.43, UD.GDC.AD.10.44","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01, UD.GDC.AD.S09.05"
AsyncTaskLoader onCreateLoader,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
AsyncTaskLoader onStartLoading,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
AsyncTaskLoader loadInBackground,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
AsyncTaskLoader args,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
AsyncTaskLoader forceLoad,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
AsyncTaskLoader args.getString,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
TextUtils.isEmpty,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17",UD.GDC.AD.T05b.02
LoaderManager,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
getSupportLoaderManager,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
getSupportLoaderManager getLoader,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
getSupportLoaderManager initLoader,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
getSupportLoaderManager restartLoader,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17, UD.GDC.AD.6.20","UD.GDC.AD.T05b.02, UD.GDC.AD.S05.01"
intro to Loader caching,lesson,UD.GDC.AD.6.18,N/A
Loader deliverResult,java,"UD.GDC.AD.6.19, UD.GDC.AD.6.20","UD.GDC.AD.T05b.03, UD.GDC.AD.S05.01"
Loader caching,java,"UD.GDC.AD.6.19, UD.GDC.AD.6.20","UD.GDC.AD.T05b.03, UD.GDC.AD.S05.01"
intro to preferences,lesson,"UD.GDC.AD.7.2, UD.GDC.AD.7.31",N/A
checkSelfPermission,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01
Manifest.permission.RECORD_AUDIO,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01
Build.VERSION.SDK_INT,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01
Build.VERSION_CODES,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01
requestPermissions,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01
PackageManager.PERMISSION_GRANTED,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01
intro to Data Persistence,lesson,UD.GDC.AD.7.5,N/A
intro to SharedPreferences,lesson,UD.GDC.AD.7.5,N/A
intro to onSavedInstanceState,lesson,UD.GDC.AD.7.5,N/A
intro to SQLite Database,lesson,"UD.GDC.AD.7.5, UD.GDC.AD.10.3",N/A
SQLite directory,lesson,UD.GDC.AD.10.3,N/A
SQLite item,lesson,UD.GDC.AD.10.3,N/A
intro to Internal/External Storage,lesson,UD.GDC.AD.7.5,N/A
