Keyword,Type,Lesson,Relevant Code,Source
AsyncTaskLoader onStartLoading,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
AsyncTaskLoader loadInBackground,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
AsyncTaskLoader args,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
AsyncTaskLoader forceLoad,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
AsyncTaskLoader args.getString,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
TextUtils.isEmpty,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17,UD.GDC.AD.T05b.02,COURSE
LoaderManager,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
getSupportLoaderManager,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
getSupportLoaderManager getLoader,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
getSupportLoaderManager initLoader,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
getSupportLoaderManager restartLoader,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
intro to Loader caching,lesson,UD.GDC.AD.6.18,N/A,COURSE
Loader deliverResult,java,UD.GDC.AD.6.19;UD.GDC.AD.6.20,UD.GDC.AD.T05b.03;UD.GDC.AD.S05.01,COURSE
Loader caching,java,UD.GDC.AD.6.19;UD.GDC.AD.6.20,UD.GDC.AD.T05b.03;UD.GDC.AD.S05.01,COURSE
intro to preferences,lesson,UD.GDC.AD.7.2;UD.GDC.AD.7.31,N/A,COURSE
checkSelfPermission,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01,COURSE
Manifest.permission.RECORD_AUDIO,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01,COURSE
Build.VERSION.SDK_INT,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01,COURSE
Build.VERSION_CODES,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01,COURSE
requestPermissions,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01,COURSE
PackageManager.PERMISSION_GRANTED,java,UD.GDC.AD.7.3,UD.GDC.AD.T06.01,COURSE
intro to Data Persistence,lesson,UD.GDC.AD.7.5,N/A,COURSE
intro to SharedPreferences,lesson,UD.GDC.AD.7.5,N/A,COURSE
intro to onSavedInstanceState,lesson,UD.GDC.AD.7.5,N/A,COURSE
intro to SQLite Database,lesson,UD.GDC.AD.7.5;UD.GDC.AD.10.3,N/A,COURSE
SQLite directory,lesson,UD.GDC.AD.10.3,N/A,COURSE
SQLite item,lesson,UD.GDC.AD.10.3,N/A,COURSE
intro to Internal/External Storage,lesson,UD.GDC.AD.7.5,N/A,COURSE
intro to Server/Firebase,lesson,UD.GDC.AD.7.5,N/A,COURSE
intro to PreferenceFragment,lesson,UD.GDC.AD.7.7,N/A,COURSE
intro to Fragment,lesson,UD.GDC.AD.7.7,N/A,COURSE
Preferences SettingsActivity,java,UD.GDC.AD.7.8;UD.GDC.AD.7.9;UD.GDC.AD.7.32 UD.GDC.AD.7.33,UD.GDC.AD.T06.01;UD.GDC.AD.S06.01,COURSE
Preferences Settings button in menu,java,UD.GDC.AD.7.8;UD.GDC.AD.7.9;UD.GDC.AD.7.32 UD.GDC.AD.7.33,UD.GDC.AD.T06.01;UD.GDC.AD.S06.01,COURSE
compile com.android.support:preference-v7,gradle,UD.GDC.AD.7.10;UD.GDC.AD.7.11;UD.GDC.AD.7.34,UD.GDC.AD.T06.02;UD.GDC.AD.S06.02,COURSE
extends PreferenceFragmentCompat,java,UD.GDC.AD.7.10;UD.GDC.AD.7.11;UD.GDC.AD.7.34,UD.GDC.AD.T06.02;UD.GDC.AD.S06.02,COURSE
PreferenceScreen,resource xml,UD.GDC.AD.7.10;UD.GDC.AD.7.11;UD.GDC.AD.7.34,UD.GDC.AD.T06.02;UD.GDC.AD.S06.02,COURSE
CheckBoxPreference,resource xml,UD.GDC.AD.7.10;UD.GDC.AD.7.11;UD.GDC.AD.7.34,UD.GDC.AD.T06.02;UD.GDC.AD.S06.02,COURSE
addPreferencesFromResource,java,UD.GDC.AD.7.10;UD.GDC.AD.7.11;UD.GDC.AD.7.34,UD.GDC.AD.T06.02;UD.GDC.AD.S06.02,COURSE
preferenceTheme @style/PreferenceThemeOverla,resource xml,UD.GDC.AD.7.10;UD.GDC.AD.7.11;UD.GDC.AD.7.34,UD.GDC.AD.T06.02;UD.GDC.AD.S06.02,COURSE
setupSharedPreferences,java,UD.GDC.AD.7.12;UD.GDC.AD.7.13;UD.GDC.AD.7.35,UD.GDC.AD.T06.03;UD.GDC.AD.S06.03,COURSE
PreferenceManager.getDefaultSharedPreferences,java,UD.GDC.AD.7.12;UD.GDC.AD.7.13;UD.GDC.AD.7.35,UD.GDC.AD.T06.03;UD.GDC.AD.S06.03,COURSE
SharedPreferences resources,resource xml,UD.GDC.AD.7.14;UD.GDC.AD.7.15;UD.GDC.AD.7.20;UD.GDC.AD.7.33;UD.GDC.AD.7.34,UD.GDC.AD.T06.04;UD.GDC.AD.T06.06;UD.GDC.AD.S06.02,COURSE
implements SharedPreferences.OnSharedPreferenceChangeListener,lesson,UD.GDC.AD.7.16;UD.GDC.AD.7.17;UD.GDC.AD.7.18;UD.GDC.AD.7.33;UD.GDC.AD.7.34,UD.GDC.AD.T06.05;UD.GDC.AD.S06.02;UD.GDC.AD.S06.03,COURSE
registerOnSharedPreferenceChangeListener,java,UD.GDC.AD.7.16;UD.GDC.AD.7.17;UD.GDC.AD.7.18;UD.GDC.AD.7.33;UD.GDC.AD.7.34,UD.GDC.AD.T06.05;UD.GDC.AD.S06.02;UD.GDC.AD.S06.03,COURSE
unregisterOnSharedPreferenceChangeListener,java,UD.GDC.AD.7.16;UD.GDC.AD.7.17;UD.GDC.AD.7.18;UD.GDC.AD.7.33;UD.GDC.AD.7.34,UD.GDC.AD.T06.05;UD.GDC.AD.S06.02;UD.GDC.AD.S06.03,COURSE
SharedPreferences ListPreference,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
SharedPreferences ListPreference,resource xml,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
findPreference,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
ListPreference,resource xml,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
onSharedPreferenceChanged,java,UD.GDC.AD.7.21;UD.GDC.AD.7.22;UD.GDC.AD.7.34,UD.GDC.AD.T06.07;UD.GDC.AD.S06.02,COURSE
